Row Labels,Sum of Quantity
9/15/2021,382
7,4
8,57
9,53
10,47
11,77
12,58
13,11
16,17
17,38
18,19
19,1
9/16/2021,378
7,11
8,71
9,54
10,62
11,53
12,67
13,13
16,17
17,21
18,7
19,2
9/17/2021,392
7,33
8,44
9,41
10,47
11,84
12,76
13,15
16,18
17,23
18,11
9/18/2021,638
7,16
8,74
9,118
10,127
11,122
12,85
13,9
16,41
17,29
18,15
19,2
9/19/2021,729
7,3
8,131
9,135
10,163
11,178
12,116
13,3
9/20/2021,474
7,10
8,91
9,35
10,95
11,61
12,71
13,4
15,2
16,30
17,31
18,43
19,1
9/21/2021,440
7,2
8,78
9,59
10,65
11,92
12,71
13,1
15,5
16,12
17,26
18,28
19,1
9/22/2021,74
16,15
17,28
18,25
19,6
9/23/2021,372
7,8
8,61
9,66
10,52
11,60
12,51
13,6
16,17
17,23
18,27
19,1
9/24/2021,451
7,13
8,54
9,45
10,69
11,97
12,69
13,6
15,2
16,45
17,38
18,13
9/25/2021,666
7,14
8,86
9,128
10,125
11,102
12,101
13,21
16,11
17,21
18,53
19,4
9/26/2021,750
7,23
8,83
9,160
10,162
11,222
12,100
9/27/2021,317
7,8
8,41
9,44
10,40
11,50
12,43
13,5
16,23
17,20
18,43
9/28/2021,323
7,12
8,28
9,56
10,62
11,61
12,54
13,6
16,23
17,15
18,4
19,2
9/29/2021,325
7,21
8,31
9,33
10,48
11,74
12,68
13,7
16,8
17,13
18,20
19,2
9/30/2021,326
7,9
8,31
9,70
10,63
11,41
12,52
13,1
16,20
17,20
18,17
19,2
10/1/2021,385
7,17
8,33
9,34
10,44
11,89
12,72
13,11
16,42
17,18
18,25
10/2/2021,464
7,8
8,78
9,66
10,77
11,122
12,66
13,1
16,18
17,26
18,2
10/3/2021,637
7,7
8,91
9,138
10,162
11,177
12,59
13,3
10/4/2021,360
7,4
8,50
9,38
10,57
11,53
12,69
13,3
16,23
17,28
18,35
10/5/2021,314
7,2
8,38
9,33
10,62
11,53
12,58
13,3
16,39
17,6
18,15
19,5
10/6/2021,342
7,10
8,47
9,37
10,57
11,34
12,71
16,39
17,33
18,14
10/7/2021,415
7,19
8,42
9,100
10,56
11,59
12,47
13,2
16,30
17,40
18,18
19,2
10/8/2021,469
7,18
8,53
9,59
10,72
11,76
12,74
13,5
16,54
17,40
18,18
10/9/2021,585
7,25
8,60
9,85
10,126
11,126
12,66
13,22
16,30
17,10
18,35
10/10/2021,770
7,3
8,128
9,142
10,216
11,157
12,124
10/11/2021,318
7,14
8,62
9,39
10,36
11,47
12,63
13,1
16,6
17,29
18,21
10/12/2021,241
7,7
8,23
9,34
10,33
11,47
12,45
16,21
17,19
18,12
10/13/2021,288
7,8
8,24
9,54
10,21
11,52
12,75
13,2
16,13
17,23
18,16
10/14/2021,299
7,3
8,38
9,41
10,36
11,52
12,49
13,9
16,22
17,16
18,29
19,4
10/15/2021,303
8,46
9,26
10,40
11,41
12,80
16,27
17,30
18,13
10/16/2021,508
7,8
8,43
